vehicle,clip,frame,x1,y1,x2,y2,accepted
highway_93,highway_traffic.mp4,49,849,687,1192,966,black|grey
highway_93,highway_traffic.mp4,61,909,806,1255,1080,black|grey
highway_94,highway_traffic.mp4,1,780,559,1073,796,red
highway_94,highway_traffic.mp4,13,834,651,1155,911,red
highway_94,highway_traffic.mp4,25,889,763,1240,1051,red
highway_94,highway_traffic.mp4,37,994,904,1270,1080,red
highway_95,highway_traffic.mp4,1,581,340,778,515,grey|white
highway_95,highway_traffic.mp4,13,622,377,830,564,grey|white
highway_95,highway_traffic.mp4,25,660,417,888,620,grey|white
highway_95,highway_traffic.mp4,37,696,477,946,694,grey|white
highway_95,highway_traffic.mp4,49,742,542,1024,784,grey|white
highway_95,highway_traffic.mp4,61,801,632,1109,897,grey|white
highway_96,highway_traffic.mp4,1,284,288,404,367,black|grey
highway_96,highway_traffic.mp4,13,300,278,424,362,black|grey
highway_96,highway_traffic.mp4,32,322,261,467,365,black|grey
highway_96,highway_traffic.mp4,44,348,251,492,363,black|grey
highway_96,highway_traffic.mp4,56,372,246,526,370,black|grey
highway_96,highway_traffic.mp4,68,402,254,557,379,black|grey
highway_97,highway_traffic.mp4,3,498,285,679,448,black
highway_97,highway_traffic.mp4,15,523,296,724,477,black
highway_97,highway_traffic.mp4,27,558,322,770,511,black
highway_97,highway_traffic.mp4,39,586,352,821,556,black
highway_97,highway_traffic.mp4,51,613,390,870,610,black
highway_97,highway_traffic.mp4,63,646,442,918,679,black
highway_99,highway_traffic.mp4,18,426,307,555,370,white
highway_99,highway_traffic.mp4,41,459,285,617,368,white
highway_99,highway_traffic.mp4,53,496,279,644,368,white
highway_99,highway_traffic.mp4,66,544,270,676,363,white
highway_99,highway_traffic.mp4,80,580,262,711,361,white
highway_99,highway_traffic.mp4,93,611,260,742,362,white
highway_101,highway_traffic.mp4,143,486,305,613,365,black|grey
highway_101,highway_traffic.mp4,156,504,293,640,367,black|grey
highway_101,highway_traffic.mp4,177,538,278,687,366,black|grey
highway_101,highway_traffic.mp4,191,560,266,703,366,black|grey
highway_101,highway_traffic.mp4,203,584,261,725,363,black|grey
highway_101,highway_traffic.mp4,215,606,254,748,363,black|grey
highway_103,highway_traffic.mp4,140,256,304,343,364,black
highway_103,highway_traffic.mp4,152,259,282,363,355,black
highway_103,highway_traffic.mp4,165,262,269,392,364,black
highway_103,highway_traffic.mp4,177,278,251,419,361,black
highway_103,highway_traffic.mp4,190,300,242,447,362,black
highway_103,highway_traffic.mp4,202,325,239,475,364,black
highway_117,highway_traffic.mp4,286,679,238,815,329,red
highway_117,highway_traffic.mp4,308,714,244,896,368,red
highway_117,highway_traffic.mp4,320,735,258,936,425,red
highway_117,highway_traffic.mp4,332,763,270,962,446,red
highway_117,highway_traffic.mp4,344,785,290,987,475,red
highway_117,highway_traffic.mp4,356,802,312,1018,513,red
highway_118,highway_traffic.mp4,384,475,295,634,369,grey|white
highway_118,highway_traffic.mp4,397,510,283,655,364,grey|white
highway_118,highway_traffic.mp4,409,540,274,679,364,grey|white
highway_118,highway_traffic.mp4,421,565,265,709,364,grey|white
highway_118,highway_traffic.mp4,433,594,263,738,366,grey|white
highway_118,highway_traffic.mp4,445,630,263,771,364,grey|white
highway_124,highway_traffic.mp4,389,242,308,384,368,grey|white
highway_124,highway_traffic.mp4,401,256,293,404,369,grey|white
highway_124,highway_traffic.mp4,413,278,278,416,363,grey|white
highway_124,highway_traffic.mp4,425,299,270,435,361,grey|white
highway_124,highway_traffic.mp4,437,321,263,466,362,grey|white
highway_124,highway_traffic.mp4,449,343,252,493,364,grey|white
highway_125,highway_traffic.mp4,434,459,304,582,367,blue
highway_125,highway_traffic.mp4,446,483,296,601,367,blue
highway_125,highway_traffic.mp4,459,504,280,631,370,blue
highway_125,highway_traffic.mp4,477,551,267,673,360,blue
highway_125,highway_traffic.mp4,489,579,261,697,360,blue
highway_125,highway_traffic.mp4,501,601,255,722,363,blue
highway_131,highway_traffic.mp4,545,464,305,586,365,grey|white
highway_131,highway_traffic.mp4,557,471,294,607,367,grey|white
highway_131,highway_traffic.mp4,569,492,286,625,366,grey|white
highway_131,highway_traffic.mp4,581,508,280,643,363,grey|white
highway_131,highway_traffic.mp4,596,536,270,678,367,grey|white
highway_131,highway_traffic.mp4,615,574,261,716,366,grey|white
highway_132,highway_traffic.mp4,573,260,303,349,363,black
highway_132,highway_traffic.mp4,585,266,292,372,362,black
highway_132,highway_traffic.mp4,597,278,278,396,361,black
highway_132,highway_traffic.mp4,629,313,250,455,362,black
highway_132,highway_traffic.mp4,649,329,247,469,365,black
highway_132,highway_traffic.mp4,661,341,248,483,369,black
highway_134,highway_traffic.mp4,606,505,295,568,365,red
highway_134,highway_traffic.mp4,620,520,284,592,365,red
highway_134,highway_traffic.mp4,633,539,281,618,365,red
highway_134,highway_traffic.mp4,645,549,269,646,367,red
highway_134,highway_traffic.mp4,657,569,262,673,365,red
highway_134,highway_traffic.mp4,669,592,255,701,360,red
highway_139,highway_traffic.mp4,714,253,304,374,365,black|grey
highway_139,highway_traffic.mp4,726,266,292,391,364,black|grey
highway_139,highway_traffic.mp4,738,276,280,408,364,black|grey
highway_139,highway_traffic.mp4,750,292,275,426,362,black|grey
highway_139,highway_traffic.mp4,762,306,270,443,361,black|grey
highway_139,highway_traffic.mp4,777,318,265,464,363,black|grey
highway_141,highway_traffic.mp4,706,548,290,622,362,grey|white
highway_141,highway_traffic.mp4,718,567,283,645,357,grey|white
highway_141,highway_traffic.mp4,731,584,271,675,360,grey|white
highway_141,highway_traffic.mp4,760,637,259,736,345,grey|white
highway_141,highway_traffic.mp4,772,643,254,780,367,grey|white
highway_141,highway_traffic.mp4,784,669,252,805,366,grey|white
highway_142,highway_traffic.mp4,730,414,284,489,393,black|grey
highway_142,highway_traffic.mp4,742,452,271,564,408,black|grey
highway_142,highway_traffic.mp4,754,464,286,607,427,black|grey
highway_142,highway_traffic.mp4,766,484,306,643,453,black|grey
highway_142,highway_traffic.mp4,778,516,321,699,478,black|grey
highway_142,highway_traffic.mp4,790,545,343,756,512,black|grey
highway_143,highway_traffic.mp4,803,514,245,636,365,black
highway_143,highway_traffic.mp4,815,529,240,655,363,black
highway_143,highway_traffic.mp4,827,544,232,675,363,black
highway_143,highway_traffic.mp4,839,564,234,693,362,black
highway_143,highway_traffic.mp4,851,578,217,720,364,black
